"feature","chi2","p","n_target","n_reference","direction"
"drogen",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"gebildet",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"gewalttätig",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"gut",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"interessen",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"kleinlich",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"kultur",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"laut",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"nationalistisch",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"wichtiger",0.139562243716303,0.708716589607321,2,3,"Right-leaning"
"arrogant",0.0750427182018792,0.784131300007188,6,11,"Right-leaning"
"arbeitslose",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"einstellung",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"grossen",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"horizont",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"interessiert",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"kosten",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"politische",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"rassisten",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"richtig",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"unflexibel",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"ungepflegt",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"vielleicht",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"werte",0.0514933410882478,0.820484828203923,2,2,"Left-leaning"
"rechtsextrem",0.0396530069974598,0.84216056330813,3,4,"Right-leaning"
"mehr",0.0359975894239887,0.849520470536799,4,6,"Right-leaning"
"familie",0.0052807027281704,0.942069960314097,3,6,"Right-leaning"
"angst",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"hinterfragen",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"introvertiert",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"karriere",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"neues",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"selber",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"ständig",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"tun",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"umfeld",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"zufrieden",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"ängstlich",0.00351458469410635,0.952725958333478,2,4,"Right-leaning"
"alkohol",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"alternativen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"altmodisch",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"arbeiter",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"behandelt",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"bilden",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"egoistische",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"eigenbrötler",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"freunde",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"gebildete",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"isoliert",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"jahren",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"laufen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"lebende",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"liebsten",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"mitmenschen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"moment",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"natur",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"oberflächliche",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"profit",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"rassistische",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"realitätsfremd",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"rechte",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"rechtsradikale",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"rücksichtslos",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"schlecht",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"sozialen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"statussymbole",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"steuern",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"traditionen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"unfreundlich",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"verantwortung",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"verschlossene",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"vertreten",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"verurteilen",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"völlig",0.00175436026860982,0.966590307140989,1,2,"Right-leaning"
"luxus",-0.000755870175210467,0.97806644857284,3,8,"Right-leaning"
"dumm",-0.00335200899280918,0.953831041596824,2,6,"Right-leaning"
"immer",-0.00343982462628084,0.953230870515475,6,13,"Right-leaning"
"denkend",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"desinteressiert",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"eigensinnig",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"macht",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"nie",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"oberflächlich",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"rechtsextreme",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"rückständig",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"snobs",-0.0111587292665455,0.915872044095271,1,4,"Right-leaning"
"wenig",-0.0123520130925824,0.911505638404535,4,9,"Right-leaning"
"eher",-0.0223797629957741,0.881081255109026,3,7,"Right-leaning"
