"feature","chi2","p","n_target","n_reference","direction"
"freizeit",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"gehen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"geniessen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"geschehen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"gesundem",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"gesundheit",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"grossstadt",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"herkunft",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"immer",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"kinderlos",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"kritische",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"lebensfroh",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"leisten",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"lernen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"musik",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"möchten",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"möglich",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"nett",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"organisiert",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"pflege",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"sicheres",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"sinn",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"sorge",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"soziales",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"städtisch",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"uniabschluss",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"unterstützen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"vorhanden",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"weltgeschehen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"wertvorstellungen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"wären",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"ziemlich",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"ähnlich",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"ähnlichen",0.00344013331160535,0.95322877446772,1,2,"Right-leaning"
"sportlich",1.85776953554124e-05,0.996560980524979,4,7,"Right-leaning"
"weltoffen",-0.000569411629026131,0.980962408053123,12,26,"Right-leaning"
"leben",-0.000860600955895267,0.976596614587214,18,39,"Right-leaning"
"alter",-0.000954888221322025,0.975348280530856,2,6,"Right-leaning"
"familien",-0.000954888221322025,0.975348280530856,2,6,"Right-leaning"
"schweiz",-0.000954888221322025,0.975348280530856,2,6,"Right-leaning"
"natur",-0.00589218010506768,0.938814044649706,4,9,"Right-leaning"
"denen",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"eltern",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"gesellschaftlich",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"menschenverstand",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"nehmen",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"neutral",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
"steuern",-0.00714267092912719,0.932647514831703,1,4,"Right-leaning"
