"feature","chi2","p","n_target","n_reference","direction"
"anständige",0.221278393921485,0.638067568041572,2,1,"new left"
"arbeitend",0.221278393921485,0.638067568041572,2,1,"new left"
"bauarbeiter",0.221278393921485,0.638067568041572,2,1,"new left"
"beantworten",0.221278393921485,0.638067568041572,2,1,"new left"
"belesen",0.221278393921485,0.638067568041572,2,1,"new left"
"besorgt",0.221278393921485,0.638067568041572,2,1,"new left"
"besser",0.221278393921485,0.638067568041572,2,1,"new left"
"bünzli",0.221278393921485,0.638067568041572,2,1,"new left"
"christliche",0.221278393921485,0.638067568041572,2,1,"new left"
"dinge",0.221278393921485,0.638067568041572,2,1,"new left"
"diskutieren",0.221278393921485,0.638067568041572,2,1,"new left"
"durchschnittlich",0.221278393921485,0.638067568041572,2,1,"new left"
"ehemalige",0.221278393921485,0.638067568041572,2,1,"new left"
"ehrenamtlich",0.221278393921485,0.638067568041572,2,1,"new left"
"einfacher",0.221278393921485,0.638067568041572,2,1,"new left"
"eingestellte",0.221278393921485,0.638067568041572,2,1,"new left"
"ethische",0.221278393921485,0.638067568041572,2,1,"new left"
"europa",0.221278393921485,0.638067568041572,2,1,"new left"
"führen",0.221278393921485,0.638067568041572,2,1,"new left"
"gemütlich",0.221278393921485,0.638067568041572,2,1,"new left"
"gerade",0.221278393921485,0.638067568041572,2,1,"new left"
"gesetze",0.221278393921485,0.638067568041572,2,1,"new left"
"glück",0.221278393921485,0.638067568041572,2,1,"new left"
"grundausbildung",0.221278393921485,0.638067568041572,2,1,"new left"
"humor",0.221278393921485,0.638067568041572,2,1,"new left"
"interessant",0.221278393921485,0.638067568041572,2,1,"new left"
"kosten",0.221278393921485,0.638067568041572,2,1,"new left"
"lebe",0.221278393921485,0.638067568041572,2,1,"new left"
"lebende",0.221278393921485,0.638067568041572,2,1,"new left"
"lebensfreudig",0.221278393921485,0.638067568041572,2,1,"new left"
"lebensstandard",0.221278393921485,0.638067568041572,2,1,"new left"
"lebt",0.221278393921485,0.638067568041572,2,1,"new left"
"legen",0.221278393921485,0.638067568041572,2,1,"new left"
"leider",0.221278393921485,0.638067568041572,2,1,"new left"
"leistung",0.221278393921485,0.638067568041572,2,1,"new left"
"lernen",0.221278393921485,0.638067568041572,2,1,"new left"
"mittlerem",0.221278393921485,0.638067568041572,2,1,"new left"
"mittleren",0.221278393921485,0.638067568041572,2,1,"new left"
"musik",0.221278393921485,0.638067568041572,2,1,"new left"
"nachbarschaftshilfe",0.221278393921485,0.638067568041572,2,1,"new left"
"nette",0.221278393921485,0.638067568041572,2,1,"new left"
"offenen",0.221278393921485,0.638067568041572,2,1,"new left"
"pflege",0.221278393921485,0.638067568041572,2,1,"new left"
"reich",0.221278393921485,0.638067568041572,2,1,"new left"
"reiselustig",0.221278393921485,0.638067568041572,2,1,"new left"
"single",0.221278393921485,0.638067568041572,2,1,"new left"
"sinn",0.221278393921485,0.638067568041572,2,1,"new left"
"situationen",0.221278393921485,0.638067568041572,2,1,"new left"
"sozialer",0.221278393921485,0.638067568041572,2,1,"new left"
"städtisch",0.221278393921485,0.638067568041572,2,1,"new left"
"tun",0.221278393921485,0.638067568041572,2,1,"new left"
"unterer",0.221278393921485,0.638067568041572,2,1,"new left"
"unterstützen",0.221278393921485,0.638067568041572,2,1,"new left"
"verein",0.221278393921485,0.638067568041572,2,1,"new left"
"verstand",0.221278393921485,0.638067568041572,2,1,"new left"
"vertrauenswürdig",0.221278393921485,0.638067568041572,2,1,"new left"
"vorhanden",0.221278393921485,0.638067568041572,2,1,"new left"
